 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
197402,-0.47,-0.18,2.81,0.58,0.32,0.73,4.5
197403,-2.81,2.6,-0.32,0.56,-1.05,4.12,-0.26
197404,-5.29,-0.74,0.85,0.75,2.11,-1.39,1.27
197405,-4.68,-2.96,-2.02,0.75,-0.39,-2.72,-3.02
197406,-2.83,-0.17,0.77,0.6,2.31,-0.95,-1.88
197407,-8.05,0.84,5.16,0.7,3.11,0.85,3.32
197408,-9.35,-0.73,2.64,0.6,3.0,2.04,2.02
197409,-11.77,0.27,5.58,0.81,4.24,3.26,1.24
197410,16.1,-3.46,-9.87,0.51,-0.54,8.72,-5.2
197411,-4.51,-1.21,-0.2,0.54,2.13,-0.3,0.02
197412,-3.45,-4.83,0.11,0.7,2.92,-0.38,-4.0
197501,13.66,11.14,8.28,0.58,-13.82,14.57,14.51
197502,5.56,0.16,-4.44,0.43,-0.61,4.55,0.08
197503,2.66,3.78,2.38,0.41,-2.04,3.5,4.86
197504,4.23,-0.65,-1.14,0.44,1.38,-0.46,-1.99
197505,5.19,3.83,-4.1,0.44,-0.58,3.76,2.05
197506,4.83,0.87,1.38,0.41,0.04,3.29,2.5
197507,-6.59,2.7,1.69,0.48,0.42,1.21,0.78
197508,-2.85,-3.25,-0.95,0.48,-0.1,0.64,-2.37
197509,-4.26,-0.1,0.39,0.53,0.41,-0.31,-1.4
197510,5.31,-4.03,0.28,0.56,-0.16,1.56,0.75
197511,2.64,-1.2,2.03,0.41,-0.45,-2.52,2.25
197512,-1.6,-0.78,1.69,0.48,-0.11,3.26,-0.32
197601,12.16,4.81,8.63,0.47,4.45,2.84,9.15
197602,0.32,7.06,5.87,0.34,0.38,-2.48,4.9
197603,2.32,-1.16,-0.12,0.4,0.15,4.43,0.3
197604,-1.49,-0.11,-0.16,0.42,0.59,2.13,-1.81
197605,-1.34,-1.23,-1.36,0.37,-1.12,-0.77,-3.43
197606,4.05,-1.32,0.71,0.43,-0.42,0.63,1.69
197607,-1.07,0.29,1.73,0.47,-0.13,1.68,0.4
197608,-0.56,-2.0,0.81,0.42,-0.85,-2.04,0.29
197609,2.07,-0.02,-0.29,0.44,0.22,-0.32,-0.42
197610,-2.42,0.22,-0.18,0.41,-0.44,1.14,-1.59
197611,0.36,2.32,1.51,0.4,2.91,0.54,1.19
197612,5.65,3.03,2.27,0.4,0.73,3.64,2.85
197701,-4.05,4.76,4.27,0.36,4.0,0.54,0.88
197702,-1.94,1.04,0.47,0.35,0.36,1.38,-1.47
197703,-1.37,1.0,1.09,0.38,0.55,1.03,-0.76
197704,0.15,-0.12,3.38,0.38,4.21,-1.22,0.22
197705,-1.45,1.18,0.85,0.37,2.03,-0.32,0.26
197706,4.71,2.09,-0.74,0.4,1.66,0.09,3.23
197707,-1.69,2.16,-0.56,0.42,0.32,1.03,1.47
197708,-1.75,1.48,-2.7,0.44,-1.7,-0.71,3.4
197709,-0.27,1.34,-0.52,0.43,2.0,0.83,0.53
197710,-4.38,1.25,1.75,0.49,-0.08,1.76,-1.07
197711,4.0,3.73,0.26,0.5,2.01,2.22,3.32
197712,0.27,1.32,-0.29,0.49,1.58,-0.13,-1.7
197801,-6.01,2.24,3.36,0.49,-0.66,1.07,1.49
197802,-1.38,3.59,0.83,0.46,1.97,1.17,-0.68
197803,2.85,3.49,1.18,0.53,1.37,-0.27,0.75
197804,7.88,0.45,-3.54,0.54,0.86,0.22,1.92
197805,1.76,4.56,-0.52,0.51,2.83,0.08,-0.17
197806,-1.69,1.66,0.57,0.54,2.74,1.35,0.06
197807,5.11,0.23,-1.15,0.56,4.17,0.91,0.57
197808,3.75,5.06,-0.51,0.56,2.83,0.87,-0.55
197809,-1.43,-0.43,1.89,0.62,-3.14,3.65,-0.72
